nombre_y_apellidos,fecha_nacimiento,nacionalidad,biografia
Miguel de Cervantes Saavedra,1547-09-29,Española,Escritor español autor de Don Quijote de la Mancha
Gabriel García Márquez,1927-03-06,Colombiana,Escritor colombiano Premio Nobel de Literatura 1982
J.K. Rowling,1965-07-31,Británica,Escritora británica autora de la saga Harry Potter
Stephen Hawking,1942-01-08,Británica,Físico teórico británico conocido por sus trabajos sobre agujeros negros
Isaac Asimov,1920-01-02,Estadounidense,Escritor y bioquímico conocido por sus obras de ciencia ficción
